,label,V1,V2,V3,V4,V5
138264,anomaly,6.406,22,12565.0,6,1386
138265,anomaly,0.0,2071,23.0,1,46
138266,anomaly,0.0,23,2071.0,1,40
138267,anomaly,0.969,22,9973.0,5,1285
138268,anomaly,0.969,9973,22.0,6,340
138269,anomaly,0.0,17887,23.0,1,46
138270,anomaly,0.0,23,17887.0,1,40
138271,anomaly,9.111,40668,22.0,15,2179
138272,anomaly,9.111,22,40668.0,19,3185
138273,anomaly,20.048,22,47336.0,26,3745
138274,anomaly,20.048,47336,22.0,24,2982
138275,anomaly,100.202,80,47294.0,6,1386
138276,anomaly,100.202,47294,80.0,7,439
138277,anomaly,0.0,61139,2323.0,1,46
138278,anomaly,0.0,2323,61139.0,1,40
138279,anomaly,9.034,58594,22.0,17,2267
138280,anomaly,9.034,22,58594.0,19,3185
138281,anomaly,17.979,32684,22.0,26,3020
138282,anomaly,17.979,22,32684.0,26,3745
138283,anomaly,16.06,39410,22.0,19,2559
138284,anomaly,16.06,22,39410.0,26,3743
138285,anomaly,14.921,4236,22.0,13,2779
138286,anomaly,14.921,22,4236.0,18,2985
138287,anomaly,11.638,22,55189.0,19,3185
138288,anomaly,11.638,55189,22.0,17,2267
138289,anomaly,18.062,34120,22.0,24,2900
138290,anomaly,18.062,22,34120.0,26,3745
138291,anomaly,121.48,32906,22.0,5,291
138292,anomaly,121.48,22,32906.0,12,6742
138293,anomaly,3.522,43010,22.0,12,1808
138294,anomaly,3.522,22,43010.0,13,2185
138295,anomaly,0.0,23,7334.0,1,40
138296,anomaly,0.0,7334,23.0,1,46
138297,anomaly,8.837,51995,22.0,17,2299
138298,anomaly,8.837,22,51995.0,19,3185
138299,anomaly,9.754,22,51006.0,19,3185
138300,anomaly,9.754,51006,22.0,15,2163
138301,anomaly,19.082,61366,22.0,26,3004
138302,anomaly,19.082,22,61366.0,26,3745
138303,anomaly,0.0,23,7334.0,1,40
138304,anomaly,0.0,7334,23.0,1,46
138305,anomaly,0.0,61139,23.0,1,46
138306,anomaly,0.0,23,61139.0,1,40
138307,anomaly,0.0,25875,23.0,1,46
138308,anomaly,0.0,23,25875.0,1,40
138309,anomaly,0.058,22,7228.0,4,213
138310,anomaly,0.058,7228,22.0,5,236
138311,anomaly,6.286,51829,22.0,14,1699
138312,anomaly,6.286,22,51829.0,13,2585
138313,anomaly,2.675,44403,22.0,12,1345
138314,anomaly,2.675,22,44403.0,14,2153
138315,anomaly,10.344,22,41757.0,19,3185
138316,anomaly,10.344,41757,22.0,15,2163
138317,anomaly,0.0,42387,23.0,1,46
138318,anomaly,0.0,23,42387.0,1,40
138319,anomaly,0.979,22,42354.0,5,1285
138320,anomaly,0.979,42354,22.0,6,340
138321,anomaly,10.094,54512,22.0,17,2283
138322,anomaly,10.094,22,54512.0,19,3185
