,Src Pt,Dst Pt,Packets,Bytes
0,36546,23,1,46
1,23,36546,1,40
2,35039,22,12,1345
3,22,35039,14,2153
4,33741,23,1,46
5,23,33741,1,40
6,16742,22,5,277
7,22,16742,8,5345
8,11873,22,7,405
9,22,11873,12,6787
10,54174,22,4,225
11,22,54174,6,1419
12,49196,22,17,2267
13,22,49196,19,3185
14,5358,43217,1,40
15,43217,5358,1,46
16,53010,22,17,2267
17,22,53010,19,3185
18,35799,23,1,46
19,23,35799,1,40
20,22,23349,5,1285
21,23349,22,6,340
22,57634,22,9,1199
23,22,57634,7,2157
24,35657,22,25,3073
25,22,35657,28,3929
26,13962,22,9,554
27,22,13962,10,1663
28,22,52308,19,3185
29,52308,22,15,2163
30,22,59293,19,3185
31,59293,22,19,2371
32,22,36287,26,3745
33,36287,22,26,3022
34,58255,22,6,347
35,22,58255,7,1397
36,53980,22,12,1808
37,22,53980,13,2185
38,22,45986,19,3185
39,45986,22,17,2267
40,23,61033,1,40
41,61033,23,1,46
42,45723,33382,1,46
43,33382,45723,1,40
44,52923,22,19,2371
45,22,52923,19,3185
46,58362,22,7,424
47,22,58362,5,1285
48,22,58087,19,3185
49,58087,22,18,2319
50,22,42841,19,3185
51,42841,22,17,2267
52,15228,22,26,3020
53,22,15228,26,3745
54,52436,2222,1,46
55,2222,52436,1,40
56,52796,22,2,92
57,22,52796,1,44
58,22,54785,19,3185
59,54785,22,19,2387
60,22,53096,19,3185
61,53096,22,17,2267
62,22,44686,19,3185
63,44686,22,17,2267
64,2224,80,15,690
65,80,2224,80,3520
66,21766,22,7,381
67,22,21766,10,4505
68,10114,22,15,2163
69,22,10114,20,4213
70,22,39725,19,3185
71,39725,22,17,2267
72,22,39073,19,3185
73,39073,22,17,2267
74,42251,22,12,1586
75,22,42251,12,2545
76,58034,22,24,2900
77,22,58034,26,3745
78,57382,22,7,420
79,22,57382,12,4773
80,49868,22,24,2883
81,22,49868,26,3745
82,42393,22,18,2040
83,22,42393,23,3545
84,5061,5060,1,429
85,0,3,1,457
86,21124,22,9,493
87,22,21124,11,1673
88,34704,80,1,46
89,80,34704,6,264
90,22,54787,19,3185
91,54787,22,15,2163
92,39611,22,12,2656
93,22,39611,16,4373
94,39933,22,6,329
95,22,39933,11,5545
96,35712,22,17,2267
97,22,35712,19,3185
98,5063,5060,1,434
99,0,3,1,462
100,22,36061,31,4121
101,36061,22,30,3531
102,22,60984,19,3185
103,60984,22,15,2163
104,5083,5060,1,437
105,0,3,1,465
106,35487,22,18,2327
107,22,35487,21,3305
108,22,47635,19,3185
109,47635,22,15,2163
110,7244,22,24,2932
111,22,7244,26,3745
112,59266,80,1,46
113,80,59266,6,264
114,29966,22,24,2964
115,22,29966,26,3745
116,12948,22,8,501
117,22,12948,10,1684
118,18932,22,10,1577
119,22,18932,9,2393
120,8000,59374,3,132
121,59374,8000,5,314
122,22,57103,19,3185
123,57103,22,17,2267
124,22,43583,19,3185
125,43583,22,17,2267
126,22,47470,5,1285
127,47470,22,6,340
128,47029,22,2,92
129,22,47029,1,44
130,15553,23,1,46
131,23,15553,1,40
132,15271,22,4,225
133,22,15271,10,6630
134,1024,36600,1,40
135,36600,1024,1,60
136,15701,23,1,46
137,23,15701,1,40
138,193,80,1,46
139,80,193,6,264
140,16876,22,6,359
141,22,16876,5,1326
142,29802,22,26,3052
143,22,29802,26,3745
144,4150,80,1,46
145,80,4150,6,264
146,41058,22,24,2883
147,22,41058,26,3745
148,35267,22,24,2883
149,22,35267,26,3745
150,42955,22,15,2163
151,22,42955,19,3185
152,59522,22,3,166
153,22,59522,5,300
154,23950,22,24,2900
155,22,23950,26,3745
156,54634,22,12,1824
157,22,54634,13,2185
158,15840,22,7,1029
159,22,15840,9,1493
160,23,62848,1,40
161,62848,23,1,46
162,40466,23,1,46
163,23,40466,1,40
164,22,41335,19,3185
165,41335,22,17,2267
166,22,44401,19,3185
167,44401,22,17,2283
168,26001,22,3,164
169,22,26001,9,697
170,10869,22,5,283
171,22,10869,16,8797
172,22,50003,19,3185
173,50003,22,15,2163
174,39968,23,1,46
175,23,39968,1,40
176,22,55731,5,1285
177,55731,22,6,340
178,5351,5060,1,442
179,0,3,1,470
180,58848,22,12,1457
181,22,58848,11,2497
182,43433,22,15,2191
183,22,43433,23,3606
184,59253,3671,2,92
185,3671,59253,1,40
186,59119,3306,1,46
187,3306,59119,1,40
188,7431,22,28,3380
189,22,7431,30,3953
190,22,49040,19,3185
191,49040,22,17,2267
192,22,46465,19,3185
193,46465,22,15,2163
194,0,8,1,46
195,0,0,1,32
196,33905,22,13,1593
197,22,33905,12,2617
198,25649,22,13,1804
199,22,25649,17,5587
200,50096,23,1,46
201,23,50096,1,40
202,45771,22,5,291
203,22,45771,14,8601
204,35575,22,17,2267
205,22,35575,19,3197
206,22,38016,19,3185
207,38016,22,15,2163
208,27786,22,13,1857
209,22,27786,15,3945
210,60551,22,12,1345
211,22,60551,14,2153
212,5772,80,1,46
213,80,5772,6,264
214,22,56421,5,1285
215,56421,22,6,340
216,20026,22,24,2916
217,22,20026,26,3745
218,21604,22,1,46
219,22,21604,6,264
220,1949,22,16,2917
221,22,1949,18,2985
222,22,55480,19,3185
223,55480,22,15,2163
224,173,5358,1,46
225,5358,173,1,40
226,57672,22,24,2883
227,22,57672,29,5921
228,22,25487,11,2477
229,25487,22,10,1490
230,38253,22,21,2811
231,22,38253,24,3561
232,22,26702,29,4009
233,26702,22,28,3287
234,39105,5358,1,46
235,5358,39105,1,40
236,57882,22,4,257
237,22,57882,8,1481
238,24721,22,7,474
239,22,24721,15,7902
240,5084,5060,1,438
241,0,3,1,466
242,0,8,1,46
243,0,0,1,32
244,57945,5358,1,46
245,5358,57945,1,40
246,64430,22,7,441
247,22,64430,8,1564
248,14800,22,26,3004
249,22,14800,26,3745
250,5358,36833,1,40
251,36833,5358,1,46
252,22,32302,5,1285
253,32302,22,6,340
254,56845,22,15,2163
255,22,56845,19,3185
256,22,44797,19,3185
257,44797,22,15,2163
258,8080,6000,1,40
259,6000,8080,1,46
260,52920,22,17,2287
261,22,52920,23,3524
262,403,80,6,276
263,80,403,14,616
264,28284,5358,1,46
265,5358,28284,1,40
266,22,57275,26,3745
267,57275,22,24,2883
268,54270,2376,1,46
269,2376,54270,1,40
270,22,53410,19,3185
