,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,B13,B14,B15,class,A1
0,16,26,724,16961,19730,389302377,16961,19730,389302377,7,5,35,1684,2052,4211232,0,3
1,6,6,38,24554,24786,614387328,24554,24786,614387328,11,8,70,1711,1268,1607831,0,3
2,18,28,831,19589,22665,513711568,19589,22665,513708784,14,7,62,2286,1363,1859924,0,3
3,10,6,37,15346,19750,390064996,15346,19750,390076846,15,8,72,2465,1335,1784650,0,3
4,15,33,1142,17890,20679,427657340,17890,20679,427657340,8,8,68,1305,1708,2918848,0,3
5,34,47,2241,19623,22285,496659579,19623,22285,496659579,13,8,72,2093,1833,3361910,0,3
6,11,25,648,19661,23217,539057003,19654,23221,539246701,11,8,71,1899,1771,3138877,0,3
7,14,17,322,16426,22149,490585642,16425,22149,490591437,10,9,91,1711,1928,3718875,0,3
8,17,29,841,20098,21994,483761772,20098,21994,483761772,11,8,74,1798,1680,2825575,0,3
9,7,7,57,23297,24975,623762821,20443,24660,608122982,10,9,92,1368,1451,2106774,0,3
10,28,41,1706,19902,23557,554946833,19877,23572,555657271,11,7,59,2189,1959,3839097,0,3
11,15,26,677,21728,23190,537794115,21728,23190,537794115,15,8,64,2302,1264,1599306,0,3
12,8,11,123,18589,22213,493420594,17475,22127,489635361,9,8,69,1558,1712,2931019,0,3
13,20,48,2336,33176,25397,645027102,33176,25397,645027102,5,1,1,520,173,30071,1,3
14,7,8,71,20997,23466,550690378,20979,23478,551246416,10,10,114,1559,1559,2433263,0,3
15,15,24,621,20889,23278,541872926,20889,23278,541872926,14,7,61,2236,1359,1848954,0,3
16,20,36,1341,15301,19621,385015243,15301,19621,385015302,12,9,92,1642,1431,2048222,0,3
17,14,30,929,20278,23880,570288659,20278,23880,570278522,7,6,46,1589,1898,3604073,0,3
18,5,5,32,16133,21736,472490665,15489,21956,482095042,9,7,62,1491,1316,1732927,0,3
19,14,29,896,18404,21623,467591651,18234,21710,471345675,11,9,88,1935,1999,3996197,0,3
20,14,22,501,21770,23497,552125277,21028,23503,552403453,14,9,81,2242,1667,2781820,0,3
21,40,48,2308,22674,25002,625126789,22674,25002,625126789,13,7,63,2516,2243,5031837,0,3
22,10,6,40,19350,22704,515482951,19350,22704,515482951,17,7,63,2544,1149,1320898,0,3
23,20,34,1223,19436,23493,551942873,19436,23493,551927327,9,9,88,1567,2090,4370248,0,3
24,15,25,657,22138,25286,639417768,22138,25286,639417768,13,7,60,2135,1397,1952522,0,3
25,21,43,1865,13750,16829,283218788,13747,16830,283279109,7,7,56,1375,1857,3448684,0,3
26,12,11,130,21040,22600,510789785,21040,22600,510789785,16,6,41,2662,1478,2186135,0,3
27,19,32,1061,16992,21995,483816464,14841,21429,459228534,8,6,47,1650,1850,3424433,0,3
28,9,8,77,15264,22236,494441354,15264,22235,494433724,11,9,99,1781,1537,2364230,0,3
29,15,18,328,19691,23764,564751646,19691,23764,564751646,14,8,66,2422,1934,3741474,0,3
30,14,8,71,22161,24893,619695872,22161,24893,619695872,17,8,66,2508,1328,1765777,0,3
31,8,7,50,20566,23127,534886253,20566,23127,534886253,12,9,85,1857,1441,2077491,0,3
32,24,33,1091,17305,20228,409183111,16516,20232,409344457,13,7,59,2538,2147,4609883,0,3
33,8,6,38,16003,20881,436048545,16003,20881,436048545,13,7,63,2119,1384,1916749,0,3
34,13,27,760,18286,21889,479158844,17348,21747,472957611,11,9,89,1717,1525,2327806,0,3
35,30,47,2271,16765,20070,402820863,17405,20885,436194789,10,7,57,1836,1789,3204047,0,3
36,10,13,176,16624,19040,362551680,16624,19040,362551680,11,8,67,1847,1707,2914629,0,3
37,22,35,1290,18201,21864,478035053,18201,21864,478035053,14,8,78,1990,1383,1913518,0,3
38,31,46,2190,17729,22424,502836300,17729,22424,502836300,11,8,77,2107,2146,4609323,0,3
39,13,28,810,21313,23663,559949737,21313,23663,559949737,10,8,69,1481,1321,1745320,0,3
40,8,5,35,23006,23412,548147481,23006,23412,548147481,11,8,69,1849,1447,2096448,0,3
41,18,26,715,20908,21918,480442261,20908,21918,480442261,13,8,75,2253,1776,3156576,0,3
42,9,7,57,14893,19264,371125932,14893,19264,371127246,13,9,98,1887,1446,2092645,0,3
43,17,12,163,23577,24904,620229541,23577,24904,620229541,18,5,34,2930,1132,1283280,0,3
44,12,26,697,20014,23609,557421724,20014,23609,557421724,11,8,74,1690,1336,1785213,0,3
45,8,11,133,14899,19357,374707475,13860,18963,359624116,10,9,81,1662,1984,3937114,0,3
46,27,38,1449,19561,22927,525680931,19561,22927,525680931,11,6,46,2237,1878,3528683,0,3
47,39,51,2628,21369,22207,493172683,21369,22207,493172683,12,5,29,2690,2273,5169926,0,3
48,13,28,819,18301,21136,446736013,18300,21136,446748778,11,8,75,1739,1336,1785477,0,3
49,21,34,1202,19663,22449,503983953,18655,22500,506261989,10,9,97,1732,1970,3884149,0,3
50,15,26,690,18147,21537,463843609,18147,21537,463843609,14,8,68,2347,1723,2971827,0,3
51,9,7,58,20459,23375,546434059,20459,23375,546434059,14,8,74,2193,1292,1670633,0,3
52,8,6,48,24471,25579,654290274,24471,25579,654290274,14,8,78,2040,1332,1774722,0,3
53,11,7,53,17835,22506,506535597,17835,22506,506523710,16,7,62,2417,1189,1414545,0,3
54,15,29,859,19174,26072,679750761,19175,26071,679730312,12,8,71,2097,1935,3744868,0,3
