,Unnamed: 0,Duration_Average ,Duration_Std,Duration_Var,Src Pt_Average,Src Pt_Std,Src Pt_Var,Dst Pt_Average,Dst Pt_Std,Dst Pt_Var,Packets_Average,Packets_Std,Packets_Var,Bytes_Average,Bytes_Std,Bytes_Var,class
0,0:00:00,16.54957143,26.91177209,724.2434771,16961.92857,19730.74702,3.89E+08,16961.92857,19730.74702,3.89E+08,7.714285714,5.94532916,35.34693878,1684.285714,2052.128805,4211232.633,suspicious
2,0:00:01,6.838111111,6.1907684,38.32561332,24554.41667,24786.83781,6.14E+08,24554.41667,24786.83781,6.14E+08,11.88888889,8.39900053,70.54320988,1711.805556,1268.002953,1607831.49,suspicious
4,0:00:02,18.90283333,28.82848724,831.0816764,19589.80556,[22665.20611571],[5.13711568e+08],19589.86944,[22665.1447003],[5.13708784e+08],14.80555556,[7.91559447],[62.6566358],2286.527778,[1363.79043857],[1859924.36033951],suspicious
6,0:00:03,10.834,[6.09267335],[37.12066857],15346.78571,[19750.06319223],[3.90064996e+08],15346.09286,[19750.36319407],[3.90076846e+08],15.14285714,[8.50090031],[72.26530612],2465.071429,[1335.90822312],[1784650.78061225],suspicious
8,0:00:04,15.50372727,[33.80722178],[1142.92824474],17890.27273,[20679.87766621],[4.2765734e+08],17890.27273,[20679.87766621],[4.2765734e+08],8.045454545,[8.28732478],[68.67975207],1305.454545,[1708.46370987],[2918848.24793388],suspicious
10,0:00:05,34.207,[47.34603474],[2241.647006],19623.53571,[22285.86053257],[4.9665958e+08],19623.53571,[22285.86053257],[4.9665958e+08],13.42857143,[8.51649061],[72.53061224],2093.821429,[1833.5512197],[3361910.0752551],suspicious
12,0:00:06,11.98061905,[25.46018716],[648.22113014],19661.61905,[23217.60115265],[5.39057003e+08],19654.95952,[23221.68601546],[5.39246701e+08],11.23809524,[8.43126134],[71.0861678],1899.52381,[1771.68761675],[3138877.01133787],suspicious
14,0:00:07,14.46826667,[17.96806665],[322.851419],16426.03333,[22149.16799263],[4.90585643e+08],16425.61,[22149.29879833],[4.90591437e+08],10.33333333,[9.58586923],[91.88888889],1711.933333,[1928.4385209],[3718875.12888889],suspicious
16,0:00:08,17.94877273,[29.01148561],[841.66629727],20098,[21994.58507637],[4.83761773e+08],20098,[21994.58507637],[4.83761773e+08],11.40909091,[8.60844771],[74.1053719],1798.568182,[1680.94474786],[2825575.24535124],suspicious
18,0:00:09,7.121454545,[7.56697727],[57.25914504],23297.39394,[24975.24416714],[6.23762821e+08],20443.88788,[24660.14967825],[6.08122982e+08],10.15151515,[9.60467441],[92.24977043],1368.424242,[1451.47331691],[2106774.78971534],suspicious
20,0:00:10,28.9524,[41.3120621],[1706.68647484],19902.125,[23557.30955159],[5.54946833e+08],19877.3075,[23572.38365647],[5.55657271e+08],11.275,[7.68761179],[59.099375],2189.275,[1959.36157954],[3839097.799375],suspicious
22,0:00:11,15.42421053,[26.02125101],[677.10550438],21728.94737,[23190.38842409],[5.37794115e+08],21728.94737,[23190.38842409],[5.37794115e+08],15.89473684,[8.05830553],[64.93628809],2302.842105,[1264.63673849],[1599306.08033241],suspicious
24,0:00:12,8.5941875,[11.09688356],[123.14082478],18589.3125,[22213.07259734],[4.93420594e+08],17475.10313,[22127.70575372],[4.89635362e+08],9.78125,[8.31314612],[69.10839844],1558.8125,[1712.02214934],[2931019.83984375],suspicious
26,0.000150463,20.43920755,[48.33543264],[2336.31404809],33176.5283,[25397.38376595],[6.45027102e+08],33176.5283,[25397.38376595],[6.45027102e+08],5.962264151,[1.39354664],[1.94197223],520.5566038,[173.41264345],[30071.94490922],normal
28,0:00:14,7.608076923,[8.47539906],[71.83238915],20997.61538,[23466.79310803],[5.50690379e+08],20979.94615,[23478.63744384],[5.51246416e+08],10.57692308,[10.71366158],[114.78254438],1559.230769,[1559.89204034],[2433263.17751479],suspicious
30,0:00:15,15.11885714,[24.92581884],[621.2964446],20889.7619,[23278.16414768],[5.41872926e+08],20889.7619,[23278.16414768],[5.41872926e+08],14.21428571,[7.85140483],[61.64455782],2236.285714,[1359.76258932],[1848954.29931973],suspicious
