,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
0:00:00,16.54957142857143,[26.91177209],[724.2434771],16961.928571428572,[19730.74701527],[3.89302378e+08],16961.928571428572,[19730.74701527],[3.89302378e+08],7.714285714285714,[5.94532916],[35.34693878],1684.2857142857142,[2052.12880508],[4211232.63265306],suspicious
,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
0:00:01,6.838111111111111,[6.1907684],[38.32561332],24554.416666666668,[24786.83780577],[6.14387328e+08],24554.416666666668,[24786.83780577],[6.14387328e+08],11.88888888888889,[8.39900053],[70.54320988],1711.8055555555557,[1268.00295345],[1607831.48996914],suspicious
,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
0:00:02,18.902833333333334,[28.82848724],[831.08167636],19589.805555555555,[22665.20611571],[5.13711568e+08],19589.869444444445,[22665.1447003],[5.13708784e+08],14.805555555555555,[7.91559447],[62.6566358],2286.527777777778,[1363.79043857],[1859924.36033951],suspicious
,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
0:00:03,10.834,[6.09267335],[37.12066857],15346.785714285714,[19750.06319223],[3.90064996e+08],15346.092857142856,[19750.36319407],[3.90076846e+08],15.142857142857142,[8.50090031],[72.26530612],2465.0714285714284,[1335.90822312],[1784650.78061225],suspicious
,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
0:00:04,15.50372727272727,[33.80722178],[1142.92824474],17890.272727272728,[20679.87766621],[4.2765734e+08],17890.272727272728,[20679.87766621],[4.2765734e+08],8.045454545454545,[8.28732478],[68.67975207],1305.4545454545455,[1708.46370987],[2918848.24793388],suspicious
,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
0:00:05,34.207,[47.34603474],[2241.647006],19623.535714285714,[22285.86053257],[4.9665958e+08],19623.535714285714,[22285.86053257],[4.9665958e+08],13.428571428571429,[8.51649061],[72.53061224],2093.8214285714284,[1833.5512197],[3361910.0752551],suspicious
,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
0:00:06,11.980619047619049,[25.46018716],[648.22113014],19661.619047619046,[23217.60115265],[5.39057003e+08],19654.959523809524,[23221.68601546],[5.39246701e+08],11.238095238095237,[8.43126134],[71.0861678],1899.5238095238096,[1771.68761675],[3138877.01133787],suspicious
